step,loss,psnr
0,0.341353,10.69
500,0.349853,25.85
1000,0.521591,25.81
1500,0.647245,25.68
2000,0.757754,25.54
2500,0.647081,25.51
3000,0.596135,25.52
3500,0.563486,25.54
4000,0.527687,25.55
4500,0.497052,25.56
5000,0.471315,25.59
5500,0.451313,25.63
6000,0.432047,25.65
6500,0.420559,25.67
7000,0.403357,25.70
7500,0.402547,25.72
8000,0.382490,25.74
8500,0.364701,25.75
9000,0.358785,25.76
9500,0.354086,25.77
