step,total_loss,l2_loss,grad_loss,psnr,ssim
0,0.332427,0.332427,0.000000,10.80,0.4312
500,0.020423,0.008573,2.370150,26.69,0.7261
1000,0.029222,0.011699,1.752344,25.34,0.7082
1500,0.027982,0.011463,1.651916,25.43,0.7130
2000,0.027137,0.011340,1.579695,25.47,0.7150
2500,0.024804,0.010901,1.390300,25.65,0.7186
3000,0.024769,0.010891,1.387775,25.65,0.7195
3500,0.023589,0.010740,1.284942,25.71,0.7208
4000,0.022649,0.010564,1.208506,25.78,0.7222
4500,0.021790,0.010454,1.133646,25.83,0.7230
5000,0.021353,0.010326,1.102680,25.88,0.7243
5500,0.020475,0.010208,1.026714,25.93,0.7253
6000,0.020193,0.010110,1.008318,25.97,0.7262
6500,0.020809,0.010061,1.074805,25.99,0.7263
7000,0.020098,0.009981,1.011695,26.03,0.7270
7500,0.019678,0.009890,0.978751,26.07,0.7279
8000,0.019581,0.009831,0.974913,26.09,0.7284
8500,0.018886,0.009740,0.914608,26.14,0.7289
9000,0.018895,0.009670,0.922506,26.17,0.7292
9500,0.018783,0.009612,0.917152,26.19,0.7297
