step,loss,psnr
0,0.333518,10.79
500,0.173444,26.68
1000,0.259829,26.77
1500,0.320454,26.66
2000,0.367773,26.53
2500,0.329561,26.48
3000,0.298832,26.48
3500,0.274495,26.51
4000,0.254380,26.52
4500,0.237133,26.55
5000,0.226096,26.57
5500,0.221549,26.60
6000,0.212847,26.63
6500,0.212443,26.67
7000,0.192839,26.68
7500,0.191445,26.69
8000,0.189580,26.71
8500,0.180701,26.73
9000,0.174789,26.74
9500,0.174482,26.77
