step,total_loss,l2_loss,grad_loss,psnr,ssim
0,0.334715,0.334715,0.000000,10.77,0.4318
500,0.083354,0.027410,1.118891,21.64,0.6408
1000,0.120480,0.038497,0.819832,20.17,0.6271
1500,0.111291,0.038636,0.726558,20.15,0.6313
2000,0.105850,0.038504,0.673466,20.17,0.6335
2500,0.102213,0.038562,0.636510,20.16,0.6341
3000,0.099493,0.038587,0.609054,20.16,0.6344
3500,0.098194,0.038405,0.597886,20.18,0.6349
4000,0.097460,0.038477,0.589830,20.17,0.6350
4500,0.094948,0.038419,0.565284,20.18,0.6353
5000,0.095226,0.038320,0.569058,20.19,0.6357
5500,0.092829,0.038132,0.546968,20.21,0.6363
6000,0.092234,0.037967,0.542677,20.23,0.6364
6500,0.092943,0.038063,0.548800,20.22,0.6357
7000,0.090431,0.038075,0.523562,20.21,0.6361
7500,0.088943,0.038014,0.509292,20.22,0.6362
8000,0.088866,0.038065,0.508009,20.22,0.6365
8500,0.087145,0.037685,0.494599,20.26,0.6373
9000,0.085791,0.037722,0.480695,20.25,0.6373
9500,0.084725,0.037586,0.471396,20.27,0.6378
